!Sample_title	A7_tophat	B7_tophat	C7_tophat	D7_tophat	E7_tophat	G7_tophat	H7_tophat	A8_tophat	B8_tophat	C8_tophat	D8_tophat	E8_tophat	F8_tophat	G8_tophat	H8_tophat	A9_tophat	B9_tophat	C9_tophat	D9_tophat	E9_tophat	F9_tophat	G9_tophat	H9_tophat
ENSG00000111266	0	2.18190226122346	7.82149578263639	10.5660919694859	30.225621092384	42.3271308626078	10.5731917386341	0	0.186059321647778	5.26699418177178	0	26.7185828076226	0	0.322442705835954	0	0	6.42867824696439	0	32.0343907953572	1.59158764187329	0.186064473790265	0	17.0399207758582
ENSG00000111269	45.5585604205259	0	52.882457420605	0	0	76.0443332567193	0	0	0	60.3310242639313	0	0.246801825455289	25.4409642541901	30.8237797443722	1.24761802583177	0	0	0.888599076052097	7.33378739989101	0	0.814660669027648	1.68292625800718	20.2232026790405
ENSG00000111271	5.0348222396975	0.0874006868158878	14.731798271585	2.70878111894916	0.0993436604467908	0	19.9146214623214	0.174814473398264	0	20.0495442856733	0	0	12.9865596405021	1.85992144595734	0.13697116496787	0	27.7821073033169	19.2510232258014	0	22.5690549237017	4.88930186619579	0	0
ENSG00000111275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83586945385189	0	0	0	0
ENSG00000111276	2.94671293189508	0	4.87555178923297	0	0.315630818730092	23.1856529895047	2.19694311385816	4.44331003036611	2.65208996790579	0	14.8202502239192	0.688692109168013	0	0	4.351794643643	0.294808636101427	0	30.1685339817588	2.55808557296091	0.810231915873594	9.85089265292154	1.76105570541734	0.762596757018246
ENSG00000111291	0	0	0	0	0	0	0	1.38902852483976	0	0	0	0	0	64.0398753380739	0	0	0	0	0	114.485985967009	199.93058107013	0	13.350192515879
ENSG00000111300	15.7728695125283	53.6414466460382	80.0190309540979	17.3574350638067	77.7034272607036	1.04920394848382	82.5609400078678	12.9489057268237	51.1050285107004	10.5538445458316	3.51137228422602	35.3617694501568	103.149634010346	130.661501635366	32.85295586663	72.7409745888731	82.3195078664522	60.1035032243547	158.68276115127	0.224877756271788	98.7426966873	30.7114517615999	83.816069871189
ENSG00000111319	0	0	0	0	0	0	0	4.25124046812768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111321	5.08750389881803	2.85879574536815	3.49176460625067	2.95339095534344	11.3023978528699	7.4452046810628	36.5816216340217	17.1540599159988	25.0988099446749	0.581900688987873	13.4292257281857	7.55252885546919	10.9996956913817	8.52296168757087	22.0114188852021	32.3301327452026	15.5695684648	4.62458277106731	0.954190359022443	24.480163900899	17.8070812161505	0.919646844891107	8.36300276392804
ENSG00000111325	0	0	0	0.875004491223053	0	0	0	0	0	0	0	0	0.370145795513317	0	0.265470806060774	0	0	0	0	0	0	0.716193227420158	0
ENSG00000111328	170.075535226067	4.00680415246811	45.7278893895259	0	0.569289850144555	29.7732910773604	27.341475099186	25.5452907147624	44.4178576915446	43.9645852603927	0	1.24216459343682	2.18881209589395	0	0	5.31733767135778	3.03570088978063	29.4430286093284	16.1486845746397	54.8017785255215	9.56718811142554	33.3515814393618	43.3270925539404
