!Sample_title	B1_tophat	C1_tophat	D1_tophat	F1_tophat	A2_tophat	C2_tophat	D2_tophat	E2_tophat	F2_tophat	G2_tophat	H2_tophat	C3_tophat	E3_tophat	F3_tophat	G3_tophat	H3_tophat	B4_tophat	D4_tophat	F4_tophat	C5_tophat	D5_tophat	E5_tophat	F5_tophat	G5_tophat	A6_tophat	B6_tophat	D6_tophat	G6_tophat
ENSG00000189108	0	59.4681936476437	1.04059786940796	0	0	0.409086629933191	0	0	0	0	0	59.4302527371043	0	37.8319827604078	0	0	0.862403582567986	0	0	0	1.89467722538833	0	0	0	0	0	0	0
ENSG00000189114	0	142.982827257801	99.4957543500285	0	60.1685061728398	126.03535557702	86.6294603352361	56.1948826939422	153.902959375572	98.3767711001424	56.5748929447817	264.504181460703	120.095079878899	153.725313814369	30.0619670864255	58.86916484413	62.7765758631118	0.331634996908485	45.5164699341378	247.081963889709	154.692293682376	0	144.628499591301	437.659627330918	0.527059159815478	37.916717522464	0.812424108112812	26.057226359386
ENSG00000189120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189129	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6951612484704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189136	0	0	0	0	0	0	0	0	0	0.304865895784876	14.1850516548062	0	0	0	0.261215856579873	0	0	0	0.695541251171653	0	0	0	0	0	1.86853686179264	0	0	0
ENSG00000189143	0	5.68592104907136	17.9338810074313	2.79948617438285	4.12380425450171	10.1305057640984	14.2413940957181	0	4.19816533122108	0.97515590655137	1.26621928454959	9.74107442062869	5.29148382769354	2.1100462524281	0.835535194164459	0.672048136625214	0	27.4530582000577	0	21.5693024013933	5.07235153406811	0	1.90705380150162	30.2268591882974	2.98838732468751	6.74953053302901	0	0
ENSG00000189144	0	0	0	0	0	0.274556541778578	0	0	0	0	0	0	0	0	0	0	0	16.0272566964026	0	3.21224289071382	0.211933931481377	0	0	0	0	106.537162157915	0	0
ENSG00000189159	33.05501888896	89.1729110944965	56.5937106639089	18.6850658260722	29.4306138751137	5.6563955377845	14.4104662755424	36.9829092068447	31.8010408994459	4.56638033006896	5.23177774688239	103.695197132337	10.7399191382052	21.9075497484084	102.877730397405	40.7260383392259	20.9338744261838	17.3512906906232	5.51543431509051	42.6483109277638	63.4561478114021	1.32001000768227	17.6352601811469	11.4670971371058	43.2160722340793	47.8568060352366	0	0
ENSG00000189164	25.3783851394296	0	0	0	0	0	0	0	0	0	0	0	0.101732675402403	3.08310673676723	0.122084726008741	15.7114746471685	23.8956542696316	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189171	1.78684265132227	3.89181331849504	19.9500361836023	5.94006497831597	0	19.1715052369999	6.16693389800214	10.2047242873135	5.72646855616986	2.48295112234903	10.2990787264515	23.6832436063363	21.8644453600407	7.57677119328564	9.21893940045067	1.42597939459014	22.0449969937483	29.1255143629673	19.3546280289931	7.70329475172897	3.58757474626779	30.5043828941377	10.4051963347016	28.0357565796556	14.5840313905982	4.77381055449796	0	0
ENSG00000189180	21.9746256034872	0	0.108824986542166	0	0	0	0	0	11.2453846607935	42.4204096574872	0	0	8.18112998745815	5.68104478388684	0	9.94097629612454	2.52530752630469	4.46594154815962	0	0	0	0	28.947121887019	0	0	22.6552765204673	0	0
ENSG00000189190	0.212017740165461	0	0	0	77.7734435359218	0	0	0	0	0	0	3.26997443605312	0	0	1.34630507019449	0	0	101.120191376908	0	0	0	0	0	0	0	0	0	0
